GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.EditableProperty,74,0,0,0,1,0,1,0,1,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,ObserverCameraController.Property,0,84,0,0,0,3,0,1,0,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,BackgroundImageWizardController.Property,64,0,0,0,1,0,1,0,1,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.PieceOfFurnitureNameOffsetState,118,6,0,0,26,1,7,1,7,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,ImportedTextureWizardController.TextureAttributesStepState.new PropertyChangeListener() {...},17,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,ImportedTextureWizardController.TextureAttributesStepState.new PropertyChangeListener() {...},46,0,0,0,6,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,ImportedTextureWizardController.TextureAttributesStepState.new PropertyChangeListener() {...},46,0,0,0,6,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureCatalogController.FurnitureCatalogViewChangeListener,28,0,2,0,8,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,WallController.ModifiedWall,107,0,0,0,32,0,16,0,16,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Runnable() {...},16,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HelpController.LanguageChangeListener,35,0,2,0,10,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Runnable() {...},14,14,2,0,4,2,1,2,0,2
sweethome3d,com.eteks.sweethome3d.viewcontroller,WallController.new PropertyChangeListener() {...},11,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,WallController.new PropertyChangeListener() {...},11,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new ThreadedTaskController.ExceptionHandler() {...},38,0,4,0,8,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Callable() {...},17,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new ThreadedTaskController.ExceptionHandler() {...},38,0,4,0,8,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new ThreadedTaskController.ExceptionHandler() {...},37,0,4,0,9,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Callable() {...},36,0,0,0,4,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new ThreadedTaskController.ExceptionHandler() {...},38,0,4,0,8,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Runnable() {...},63,0,4,0,13,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Callable() {...},17,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new ThreadedTaskController.ExceptionHandler() {...},38,0,4,0,8,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Runnable() {...},18,0,2,0,5,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new CollectionListener() {...},16,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new AbstractUndoableEdit() {...},27,0,0,0,5,0,3,0,3,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Runnable() {...},18,0,2,0,5,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Callable() {...},27,0,0,0,5,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Runnable() {...},18,0,2,0,5,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Runnable() {...},18,0,2,0,5,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new AbstractUndoableEdit() {...},15,0,0,0,2,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new AbstractUndoableEdit() {...},19,0,0,0,2,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},52,0,2,0,12,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},10,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,UserPreferencesController,587,17,58,0,139,5,70,1,41,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.UserPreferencesChangeListener,24,0,2,0,5,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.JoinedWall,140,0,20,0,30,0,21,0,11,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,ImportedFurnitureWizardController.FurnitureModelStepState.new PropertyChangeListener() {...},21,0,2,0,3,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},24,0,2,0,3,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,LabelController.LabelModificationUndoableEdit,50,0,0,0,16,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},113,0,16,0,19,0,10,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},22,0,2,0,4,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new CollectionListener() {...},43,0,3,0,8,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new UndoableEditListener() {...},41,0,2,0,9,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},22,0,2,0,5,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new CollectionListener() {...},18,0,4,0,5,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},15,0,2,0,4,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.RoomAreaOffsetState,118,6,0,0,26,1,7,1,7,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureCatalogController,165,133,17,9,38,34,14,12,3,10
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.RoomCreationState,117,8,6,0,27,1,10,1,7,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new PropertyChangeListener() {...},38,0,8,0,8,0,6,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new CollectionListener() {...},38,0,4,0,7,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new PropertyChangeListener() {...},44,6,8,0,10,1,5,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new CollectionListener() {...},22,9,4,0,5,1,3,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new AbstractUndoableEdit() {...},40,24,0,0,8,1,3,1,3,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.SelectionState,642,14,122,0,116,2,66,1,5,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new AbstractUndoableEdit() {...},41,18,0,0,8,1,3,1,3,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new SelectionListener() {...},23,22,7,1,4,6,4,2,0,2
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new AbstractUndoableEdit() {...},181,0,4,0,18,0,6,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new AbstractUndoableEdit() {...},77,0,0,0,9,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new FurnitureController.AlignmentAction() {...},38,6,2,0,6,1,2,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new FurnitureController.AlignmentAction() {...},38,6,2,0,6,1,2,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeFurnitureController.ModifiedPieceOfFurniture,153,0,4,0,37,0,5,0,3,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},59,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},69,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},64,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new PropertyChangeListener() {...},10,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new CollectionListener() {...},22,0,2,0,3,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},108,0,4,0,20,0,6,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},63,0,4,0,13,0,6,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new Comparator() {...},13,0,0,0,2,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},17,0,0,0,4,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},119,0,0,0,16,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},27,0,0,0,5,0,3,0,3,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,WizardController.new PropertyChangeListener() {...},35,6,6,0,7,1,5,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,HelpController,721,22,68,0,132,6,57,1,23,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},83,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},78,0,0,0,12,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},62,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},78,0,0,0,12,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},64,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},62,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},57,0,0,0,8,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},149,0,10,0,22,0,9,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},17,0,0,0,4,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},26,0,0,0,5,0,3,0,3,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},83,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,RoomController.RoomPaint,24,0,0,0,1,0,1,0,1,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.TexturesCatalogChangeListener,27,0,2,0,8,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.PieceOfFurnitureRotationState,246,6,12,0,46,1,15,1,9,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,PhotoController.CameraChangeListener,6,19,1,1,1,7,1,2,0,2
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},62,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},118,0,6,0,15,0,7,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},62,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},62,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},62,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController3D,59,296,12,22,10,75,13,22,2,16
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},62,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Callable() {...},17,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},75,0,2,0,12,0,5,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new ThreadedTaskController.ExceptionHandler() {...},38,0,4,0,8,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},70,0,2,0,10,0,5,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Runnable() {...},23,0,2,0,4,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},103,0,2,0,17,0,5,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},62,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},78,0,0,0,12,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new AbstractUndoableEdit() {...},46,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new AbstractUndoableEdit() {...},55,12,4,0,13,1,5,1,3,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,LabelController,218,149,25,11,42,45,19,15,5,11
sweethome3d,com.eteks.sweethome3d.viewcontroller,RoomController.ModifiedRoom,100,0,0,0,25,0,3,0,3,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new CollectionListener() {...},34,0,4,0,7,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.PointMagnetizedToClosestWallOrRoomPoint,151,0,16,0,29,0,14,0,6,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HelpController.Property,54,0,0,0,2,0,1,0,1,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new PropertyChangeListener() {...},23,0,4,0,5,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new PropertyChangeListener() {...},90,0,24,0,19,0,14,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},59,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new SelectionListener() {...},18,0,2,0,5,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.RoomNameOffsetState,118,6,0,0,26,1,7,1,7,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},49,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},115,0,0,0,12,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},49,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.new AbstractUndoableEdit() {...},46,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PageSetupController.Property,0,14,0,0,0,1,0,1,0,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,HelpController.new Comparator() {...},12,0,0,0,2,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HelpController.new URLStreamHandler() {...},15,0,0,0,2,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.DimensionLineCreationState,95,8,6,0,22,1,10,1,7,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,ThreadedTaskController,24,46,4,4,3,14,4,5,1,4
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.WallDrawingState,1883,8,140,0,308,1,89,1,18,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController3D.CameraControllerState,6,4,0,0,6,2,6,2,6,2
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.DimensionLineResizeState,693,6,44,0,131,1,32,1,10,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeFurnitureController.FurnitureModificationUndoableEdit,138,0,0,0,34,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.LightPowerModificationState,168,6,0,0,33,1,8,1,8,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,CompassController.Property,0,84,0,0,0,2,0,1,0,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,PageSetupController,16,90,1,3,4,25,2,8,1,7
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.AlignedPieceOfFurniture,60,0,6,0,16,0,8,0,5,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.RoomDrawingState,1541,8,118,0,247,1,77,1,17,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,ImportedFurnitureWizardController.Step,44,0,0,0,1,0,1,0,1,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.PieceOfFurnitureHeightState,301,6,4,0,58,1,11,1,9,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,BackgroundImageWizardController.BackgroundImageUndoableEdit,78,0,6,0,21,0,7,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,ImportedFurnitureWizardController.Property,164,0,0,0,3,0,1,0,1,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PhotoController.HomeEnvironmentChangeListener,9,29,3,3,2,8,3,2,0,2
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.CompassResizeState,218,6,0,0,37,1,8,1,8,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,WizardController.WizardControllerStepState,91,0,12,0,30,0,20,0,14,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new FurnitureController.AlignmentAction() {...},38,6,2,0,6,1,2,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new FurnitureController.AlignmentAction() {...},38,6,2,0,6,1,2,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new FurnitureController.AlignmentAction() {...},55,6,2,0,5,1,2,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new FurnitureController.AlignmentAction() {...},55,6,2,0,5,1,2,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,LevelController,168,223,25,17,38,66,19,25,3,20
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new FurnitureController.AlignmentAction() {...},52,6,2,0,5,1,2,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new FurnitureController.AlignmentAction() {...},52,6,2,0,5,1,2,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new FurnitureController.AlignmentAction() {...},6,6,0,0,2,1,1,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new Comparator() {...},51,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new AbstractUndoableEdit() {...},60,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController.new AbstractUndoableEdit() {...},57,0,0,0,10,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeFurnitureController.ModifiedLight,17,0,0,0,6,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,CompassController,16,366,1,19,4,93,2,32,1,23
sweethome3d,com.eteks.sweethome3d.viewcontroller,BackgroundImageWizardController.ImageChoiceStepState.new PropertyChangeListener() {...},21,0,2,0,3,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,ImportedFurnitureWizardController.FurnitureModelStepState,39,0,2,0,10,0,5,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,WizardController.Property,74,0,0,0,2,0,1,0,1,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,ImportedFurnitureWizardController.PieceOfFurnitureImportationUndoableEdit,60,0,0,0,16,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PhotoController.Property,0,84,0,0,0,1,0,1,0,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.ResizedPieceOfFurniture,270,0,20,0,60,0,18,0,8,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeFurnitureController.FurnitureShininess,0,34,0,0,0,1,0,1,0,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeFurnitureController.new PropertyChangeListener() {...},11,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,LevelController.Property,0,64,0,0,0,1,0,1,0,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.WallCreationState,82,8,4,0,21,1,9,1,7,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.PanningState,161,6,14,0,35,1,16,1,9,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,FurnitureController,1559,616,118,38,252,147,91,44,19,38
sweethome3d,com.eteks.sweethome3d.viewcontroller,ImportedTextureWizardController.ImportedTextureWizardStepState,24,0,0,0,6,0,4,0,4,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.PieceOfFurnitureResizeState,489,6,20,0,80,1,19,1,9,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,VideoController.Property,0,84,0,0,0,1,0,1,0,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.LabelRotationState,167,6,6,0,33,1,11,1,8,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},26,0,4,0,5,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},18,0,2,0,4,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},16,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},17,0,0,0,4,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new PropertyChangeListener() {...},21,0,2,0,4,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new UndoableEditSupport() {...},3,13,3,1,1,4,2,2,0,2
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new Runnable() {...},32,0,0,0,5,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new SelectionListener() {...},10,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController.new SelectionListener() {...},10,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController3D.ObserverCameraState.new CollectionListener() {...},27,6,4,0,6,1,3,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,HelpController.1.new URLConnection() {...},18,0,0,0,4,0,3,0,3,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeController3D.ObserverCameraState.new PropertyChangeListener() {...},10,6,2,0,3,1,2,1,1,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,Home3DAttributesController.Property,0,64,0,0,0,1,0,1,0,1
sweethome3d,com.eteks.sweethome3d.viewcontroller,RoomController,867,59,122,4,218,17,89,5,26,5
sweethome3d,com.eteks.sweethome3d.viewcontroller,ObserverCameraController,32,402,4,30,5,101,5,36,1,23
sweethome3d,com.eteks.sweethome3d.viewcontroller,RoomController.Property,104,0,0,0,2,0,1,0,1,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,HomeView.SaveAnswer,34,0,0,0,1,0,1,0,1,0
sweethome3d,com.eteks.sweethome3d.viewcontroller,PhotoController.HomeCameraChangeListener,7,31,1,1,1,9,1,2,0,2
sweethome3d,com.eteks.sweethome3d.viewcontroller,PlanController.CameraElevationState,209,6,8,0,34,1,12,1,8,1
sweethome3d,com.eteks.sweethome3d,SweetHome3D.new Runnable() {...},20,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d,SweetHome3D.new Runnable() {...},20,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d,SweetHome3D.new Runnable() {...},26,0,2,0,5,0,3,0,2,0
sweethome3d,com.eteks.sweethome3d,HomeFramePane.3.new Runnable() {...},12,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d,SweetHome3D.StandaloneBasicService,149,0,10,0,30,0,10,0,5,0
sweethome3d,com.eteks.sweethome3d,SweetHome3D,659,144,71,25,155,34,54,16,13,9
sweethome3d,com.eteks.sweethome3d,SweetHome3DJavaWebStartBootstrap,90,3,6,0,21,1,4,1,1,1
sweethome3d,com.eteks.sweethome3d,SweetHome3D.new Executor() {...},9,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d,MacOSXConfiguration.1.new Runnable() {...},11,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d,MacOSXConfiguration.1.new Runnable() {...},11,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d,MacOSXConfiguration.1.new Runnable() {...},11,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d,HomeFramePane.new PropertyChangeListener() {...},25,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d,HomeFramePane.new CollectionListener() {...},32,0,4,0,6,0,4,0,2,0
sweethome3d,com.eteks.sweethome3d,HomeFramePane.new Runnable() {...},22,0,0,0,4,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d,HomeFramePane.new JFrame() {...},10,0,0,0,3,0,1,0,1,0
sweethome3d,com.eteks.sweethome3d,HomeFramePane.new WindowAdapter() {...},54,0,8,0,13,0,9,0,5,0
sweethome3d,com.eteks.sweethome3d,HomeFramePane.new ComponentAdapter() {...},78,0,4,0,12,0,5,0,3,0
sweethome3d,com.eteks.sweethome3d,HomeFrameController,38,24,2,2,6,9,3,3,1,3
sweethome3d,com.eteks.sweethome3d,SweetHome3D.3.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
sweethome3d,com.eteks.sweethome3d,SweetHome3D.FileContentManagerWithRecordedLastDirectories,92,0,14,0,26,0,10,0,3,0
sweethome3d,com.eteks.sweethome3d,SweetHome3D.StandaloneServiceManager,41,0,4,0,9,0,5,0,3,0
sweethome3d,com.eteks.sweethome3d,HomeFramePane.LanguageChangeListener,49,0,2,0,11,0,3,0,2,0
